,song_title,artist,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,target
438,San Francisco (Be Sure to Wear Flowers In Your Hair) - Single Version,Scott McKenzie,medium,medium,medium,low,low,high,low,negative,Yes
439,White Rabbit,Jefferson Airplane,medium,medium,low,low,low,medium,low,negative,Yes
440,Pleasure Power (DJ Smash Disco Remix),Afrolicious,low,high,medium,medium,low,high,low,negative,Yes
441,Bound 2,Kanye West,low,medium,high,low,low,high,low,negative,Yes
442,Drunk in Love,Beyoncé,low,medium,medium,low,low,high,low,negative,Yes
443,Viol - Original Mix,Gesaffelstein,low,medium,high,high,medium,high,low,verynegative,Yes
444,Good Mistake,Mr Little Jeans,low,high,medium,medium,low,high,low,verypositive,Yes
445,Runaway,Mr Little Jeans,low,medium,high,low,low,high,low,positive,Yes
446,Fall In Love,Phantogram,low,medium,high,low,low,high,low,negative,Yes
447,You’re Not The One,Sky Ferreira,low,medium,high,low,low,high,low,verypositive,Yes
448,Sacrilege,Yeah Yeah Yeahs,low,medium,high,low,medium,high,low,negative,Yes
449,Collard Greens,ScHoolboy Q,low,high,medium,low,low,high,low,positive,Yes
450,Hell Of A Night,ScHoolboy Q,medium,medium,high,low,low,high,low,verynegative,Yes
451,1977,Ana Tijoux,low,high,high,low,low,high,low,positive,Yes
452,Latino & Proud,DJ Raff,low,high,medium,low,low,high,low,verypositive,Yes
453,Move That Dope,Future,low,high,medium,low,low,high,low,negative,Yes
454,Slasherr,Rustie,low,high,high,high,low,high,low,positive,Yes
455,Outlines,AlunaGeorge,high,high,medium,low,low,high,low,negative,Yes
456,Platoon,Jungle,medium,medium,high,high,low,high,low,positive,Yes
457,Man Of The Year,ScHoolboy Q,low,high,high,low,low,high,low,negative,Yes
458,Spacer Woman - Vocal,Charlie,low,high,high,medium,low,high,low,negative,Yes
459,Nobody Else - Original Mix,Dusky,low,high,high,high,low,high,low,positive,Yes
460,Stoner,Young Thug,medium,high,high,low,low,high,low,positive,Yes
461,Elevate,St. Lucia,low,medium,high,low,low,high,low,positive,Yes
462,Independent - House Remix,Hoodfellas,low,high,high,low,low,high,low,positive,Yes
463,Au Seve,Julio Bashmore,low,high,high,high,low,high,low,positive,Yes
464,Synchronize,Discodeine,low,high,medium,low,low,high,low,verypositive,Yes
465,Don't Miss,The Alexanders,low,high,high,medium,low,high,low,positive,Yes
466,Coucou disco,Dim Sum,low,high,high,medium,low,high,low,negative,Yes
467,Vowel Play - Original,Them Jeans,low,high,high,high,low,high,low,verypositive,Yes
468,The Devil Is A Lie,Rick Ross,low,high,high,low,medium,high,low,positive,Yes
469,North North,Project Pat,low,high,high,low,low,high,low,positive,Yes
470,Temporary View,SBTRKT,medium,high,high,low,low,high,low,verynegative,Yes
471,"III. Telegraph Ave. (""Oakland"" by Lloyd)",Childish Gambino,low,medium,high,low,low,high,low,positive,Yes
472,Accelerate,Jungle,low,medium,high,medium,medium,high,low,negative,Yes
473,0 To 100 / The Catch Up,Drake,high,high,high,low,low,high,medium,negative,Yes
474,Hot N*gga,Bobby Shmurda,low,high,medium,low,low,high,medium,verynegative,Yes
475,You'll Never Walk Alone - 2002 Remastered Version,Gerry & The Pacemakers,medium,medium,low,low,low,medium,low,negative,Yes
476,Your Soul,Hippie Sabotage,low,medium,high,low,low,high,low,verynegative,Yes
477,dance yrself clean - live at madison square garden,LCD Soundsystem,low,medium,high,low,high,high,low,negative,Yes
478,Running Up That Hill (A Deal With God),Kate Bush,high,medium,medium,low,low,medium,low,verynegative,Yes
479,High Ball Stepper,Jack White,low,low,medium,low,low,high,low,negative,Yes
480,The Great Gig In The Sky - 2011 Remastered Version,Pink Floyd,high,low,low,high,low,medium,low,verynegative,Yes
481,All We Need (feat. Shy Girls),ODESZA,low,medium,high,low,low,high,low,negative,Yes
482,Catamaran,Allah-Las,low,medium,high,low,low,high,low,positive,Yes
483,Fool,Perfume Genius,high,low,low,low,low,high,low,verynegative,Yes
484,Bulbform,TR/ST,low,medium,high,low,low,high,low,negative,Yes
485,Passing Out Pieces,Mac Demarco,low,medium,high,low,low,high,low,negative,Yes
486,Tuesday,ILoveMakonnen,medium,high,medium,low,low,high,low,positive,Yes
487,Drop Dead Baby,Ty Segall,low,low,high,high,medium,high,low,negative,Yes
488,My Sunshine,Ty Segall,low,low,high,low,low,high,low,positive,Yes
489,BIG Fun - Full Intention 88 Remix,Inner City,low,high,high,high,low,high,low,verynegative,Yes
490,Natty Dread A Weh She Want,Horace Andy,low,high,medium,low,low,high,low,verypositive,Yes
491,DLZ,TV On The Radio,low,medium,high,low,low,high,low,positive,Yes
492,Whatcha Gonna Do,Koopsta Knicca,low,high,high,low,low,high,medium,positive,Yes
493,18 With A Bullet,Pete Wingfield,low,high,medium,low,low,high,low,negative,Yes
494,The Boss,James Brown,medium,high,medium,low,low,high,low,positive,Yes
495,Drifting In And Out,Porcelain Raft,low,low,high,low,medium,high,low,negative,Yes
496,Made Me,Snootie Wild,low,high,high,low,low,high,low,negative,Yes
497,Way to be Loved,TOPS,medium,medium,medium,low,low,high,low,positive,Yes
498,Just Wanna Love You Girl,Epsilons,low,low,high,low,low,high,low,positive,Yes
499,Be Brave,The Strange Boys,medium,medium,high,low,low,high,low,verypositive,Yes
500,Tupelo (Pt. 1) - Single Version,Albert King,medium,high,low,low,low,medium,low,negative,Yes
501,Candyman,Cornershop,low,high,high,high,low,high,low,positive,Yes
502,Somebody Was Watching,Pops Staples,medium,medium,medium,low,low,medium,low,positive,Yes
503,Tupelo - Part 1,Pop Staples,medium,medium,low,low,low,low,low,negative,Yes
504,Tupelo,Steve Cropper,low,medium,low,low,medium,low,low,negative,Yes
505,"Damn Son, Where'd You Find This? - Future of TRAP Mix",Trendsetter,low,high,medium,low,low,high,medium,verynegative,Yes
506,I'm in LOVE With GO-GO Dancer (Disco Diva) - Future of TRAP Mix,Trendsetter,low,medium,medium,low,low,high,low,verynegative,Yes
507,Damn Son Where'd You Find This? (feat. Kelly Holiday) - Markus Maximus Remix,Markus Maximus,low,high,medium,low,low,high,medium,verynegative,Yes
508,Work - The Advent & Spiriakos Remix,ZZT,low,medium,high,high,medium,high,low,verynegative,Yes
509,Mannish Boy,Muddy Waters,medium,medium,medium,low,low,high,low,negative,Yes
510,Holding On,Disclosure,low,high,high,low,medium,high,medium,verypositive,Yes
511,"Mozart: Requiem in D Minor, K. 626: VIII. Lacrimosa",Nikolaus Harnoncourt,high,low,low,medium,low,low,low,verynegative,Yes
512,My Main,Mykfresh,low,high,medium,low,low,high,low,positive,Yes
513,Southern Man - Live,"Crosby, Stills, Nash & Young",low,medium,high,low,high,high,low,verypositive,Yes
514,Won't Look Back,Duke Dumont,low,medium,high,low,low,high,low,negative,Yes
515,Chrome Knight - Feat. Chromeo,Surkin,low,medium,high,low,low,high,low,positive,Yes
516,Black Boy,Pops Staples,high,high,medium,medium,low,medium,low,verypositive,Yes
517,Give Me The Sunshine,Leo's Sunshipp,low,medium,medium,low,low,high,low,verypositive,Yes
518,Motherless Child,Romare,medium,high,medium,high,low,medium,low,negative,Yes
519,Giudecca,Ghost Culture,low,medium,high,high,low,high,low,negative,Yes
520,Living Every Dream,Antwon,low,medium,high,low,low,high,low,negative,Yes
521,Easy Rider,Action Bronson,low,medium,high,low,low,high,low,positive,Yes
522,Nissim,The Gaslamp Killer,low,medium,high,low,low,high,low,verynegative,Yes
523,Topless,Orlando Julius,low,medium,high,low,low,high,low,verypositive,Yes
524,Breakthrough,The Funkees,medium,medium,high,low,low,high,low,positive,Yes
525,Stand Up - Tiger & Woods Remix,Pitchben,low,high,high,low,low,high,low,positive,Yes
526,Blow a Bag,Future,low,high,medium,low,medium,high,low,verynegative,Yes
527,Ain't got nobody,Sísý Ey,low,high,medium,low,low,high,low,positive,Yes
528,I Want'a Do Something Freaky To You,Leon Haywood,low,medium,medium,low,low,high,low,verypositive,Yes
529,I Got a Feeling,Shit Robot,low,high,high,high,low,high,low,positive,Yes
530,Standard,Empress Of,low,medium,medium,low,low,high,low,negative,Yes
531,What I Might Do - Club Mix,Ben Pearce,low,high,medium,high,low,high,low,negative,Yes
532,Let's Lovedance Tonight - Danny Krivit Re-edit - Original Disco Version,Gary's Gang,low,high,high,low,low,high,low,verypositive,Yes
533,Do You Love Me,The Contours,medium,medium,high,low,low,high,low,verypositive,Yes
534,Too Bad I Have To Destroy You Now,Kid Cudi,low,medium,high,low,low,high,low,verynegative,Yes
535,Louie Louie,The Sonics,high,medium,high,low,low,high,low,verypositive,Yes
536,Heart Full of Soul,The Yardbirds,low,medium,high,low,low,high,low,positive,Yes
537,For Your Love,The Yardbirds,low,medium,medium,low,low,high,low,positive,Yes
538,Sunshine Of Your Love,Cream,medium,high,medium,low,low,medium,low,verypositive,Yes
539,Taifa - The Emperor Machine Mix,Partial Arts,low,high,high,high,low,medium,low,verynegative,Yes
540,Taifa,Partial Arts,low,high,medium,high,low,high,low,positive,Yes
541,Make It,Patrick Di Stefano,low,high,high,medium,medium,high,low,positive,Yes
542,Face It,Master C & J,low,high,medium,high,low,medium,low,verypositive,Yes
543,Mary-Mary (M&M Unreleased Mix) [feat. Dajae],Grand High Priest,low,high,high,medium,low,high,low,verypositive,Yes
544,Supernature - Edit,Cerrone,low,medium,high,medium,low,high,low,verypositive,Yes
545,I'll Be Good,Rene & Angela,low,high,medium,low,low,high,low,positive,Yes
546,Defected In The House Ibiza 2013 Mixtape,Simon Dunmore,low,high,high,low,low,high,low,negative,Yes
547,"A Day In The Life - feat. RZA, The Mars Volta & AG + Good Hygiene feat. Tim Meadows Amended CD Version",Handsome Boy Modeling School,low,medium,high,low,medium,high,medium,positive,Yes
548,Episode I - Duel of The Fates,John Williams,high,medium,medium,high,low,low,low,verynegative,Yes
549,Three Cool Cats,The Coasters,high,high,medium,low,low,high,low,verypositive,Yes
550,Mercy,The Third Degree,low,medium,high,low,medium,high,low,verypositive,Yes
551,Do I Love You?,The Ronettes,medium,medium,high,low,low,high,low,negative,Yes
552,Night on Bald Mountain,Modest Mussorgsky,high,medium,low,high,low,low,low,verynegative,Yes
553,Akue We Non Houme - Jerk Fon,T. P. Orchestre Poly-Rythmo,low,high,medium,low,low,high,low,verypositive,Yes
554,Ecoute ma mélodie - Bossa Afro,T. P. Orchestre Poly-Rythmo,medium,high,high,low,low,high,low,verypositive,Yes
555,Ole,The Funkees,low,medium,high,low,low,low,low,verypositive,Yes
556,Greetings,Joni Haastrup,low,medium,high,low,medium,high,low,verypositive,Yes
557,5thep,Todd Osborn,low,high,high,medium,low,high,low,verypositive,Yes
558,Cavern,Liquid Liquid,low,high,high,high,low,high,low,negative,Yes
559,Your Love,Mick Jenkins,low,high,medium,low,low,high,low,positive,Yes
560,Sleepwalk,Santo & Johnny,high,medium,medium,medium,low,medium,low,negative,Yes
561,What I Might Do - Kilter Remix,Ben Pearce,low,medium,medium,medium,medium,high,low,negative,Yes
562,Waiting Around For Grace,Pond,low,low,high,low,low,high,low,negative,Yes
563,Nobodys Fool - Ben Pearce Remix,Real Connoisseur,low,medium,high,high,low,high,low,positive,Yes
564,Smoke On The Water,Deep Purple,low,medium,medium,medium,low,medium,low,verypositive,Yes
565,Able to See Me,Hippie Sabotage,low,medium,high,low,low,high,low,verynegative,Yes
566,Oogum Boogum Song,Brenton Wood,high,high,high,low,low,high,low,verypositive,Yes
567,The Gaudy Side of Town,Gayngs,high,high,medium,medium,low,high,low,positive,Yes
568,The Walker,Gayngs,medium,medium,medium,high,low,medium,low,verynegative,Yes
569,Ultimate Painting,Ultimate Painting,medium,high,high,high,low,high,low,positive,Yes
570,Agorinha,Sango,low,high,high,low,low,high,medium,positive,Yes
571,I'm Glad,Captain Beefheart & His Magic Band,high,medium,medium,low,low,high,low,negative,Yes
572,Apollo Throwdown (Star Slinger Remix),The Go! Team,low,high,high,low,medium,high,low,negative,Yes
573,Boys Life,Small Black,low,medium,high,low,high,high,low,positive,Yes
574,Dirt And Grime,Fathers Children,medium,medium,medium,low,low,high,low,positive,Yes
575,Pedestrian at Best,Courtney Barnett,low,medium,high,low,medium,high,low,positive,Yes
576,Middle,DJ Snake,low,medium,high,low,low,high,low,verynegative,Yes
577,Something About You - Extended Mix,Hayden James,low,high,medium,low,low,high,low,positive,Yes
578,Only You,Mac Demarco,low,medium,high,low,low,high,low,positive,Yes
579,The One,ZHU,low,high,high,high,low,high,low,positive,Yes
580,Way Down We Go,Kaleo,medium,medium,medium,low,low,high,low,negative,Yes
581,Deeper Than Love,Colleen Green,low,high,medium,high,low,high,low,verypositive,Yes
582,Back Pocket,Vulfpeck,medium,high,medium,low,low,high,low,verypositive,Yes
583,All I Wanna Do,The Beach Boys,low,medium,medium,low,low,medium,low,negative,Yes
584,Water,Jamaican Queens,low,medium,medium,low,low,high,low,verynegative,Yes
585,You,Ejeca,low,medium,high,high,low,high,low,positive,Yes
586,Voodoo Ray - Danny Tenaglia Remix,A Guy Called Gerald,low,high,medium,high,low,high,low,positive,Yes
587,Jack,Breach,low,high,medium,low,low,high,low,positive,Yes
588,Jack,Breach,low,high,medium,medium,low,high,low,positive,Yes
589,Mary Jane (Jamie Xx - Girl Remix),Jamie xx,medium,medium,medium,low,medium,high,low,positive,Yes
590,Chunky - Club Mix,Format:B,low,high,high,medium,low,high,low,positive,Yes
591,My Old Man,Zac Brown Band,high,medium,low,low,low,medium,low,negative,No
592,Losing Sleep,Chris Young,low,medium,medium,low,low,high,low,positive,No
593,Sleep Without You,Brett Young,low,medium,high,low,low,high,low,positive,No
594,Yeah Boy,Kelsea Ballerini,low,medium,high,low,low,high,low,negative,No
595,Craving You,Thomas Rhett,low,medium,high,low,medium,high,low,positive,No
596,More Girls Like You,Kip Moore,low,medium,high,low,low,high,low,positive,No
597,Heart Break,Lady Antebellum,low,medium,high,low,low,high,low,positive,No
598,Cut Your Groove,Charlie Worsham,low,medium,high,low,low,high,low,verypositive,No
599,Black,Dierks Bentley,low,high,medium,low,low,high,low,positive,No
600,The Weekend,Brantley Gilbert,low,medium,high,low,low,high,low,positive,No
601,Reasons,Jillian Jacqueline,low,medium,medium,low,low,high,low,negative,No
602,Small Town Boy,Dustin Lynch,low,medium,high,low,medium,high,low,positive,No
603,Yours If You Want It,Rascal Flatts,low,medium,high,low,low,high,low,negative,No
604,Roots,Zac Brown Band,low,high,medium,low,low,high,low,positive,No
605,Sunday Morning,Parmalee,low,medium,high,low,low,high,low,positive,No
606,Hurricane,Luke Combs,low,medium,high,low,low,high,low,negative,No
607,Think A Little Less,Michael Ray,low,medium,high,low,low,high,low,positive,No
608,Speak to a Girl,Tim McGraw,high,medium,medium,low,low,high,low,verynegative,No
609,Man Enough Now,Chris Bandi,low,medium,medium,low,low,high,low,positive,No
610,If I Told You,Darius Rucker,medium,medium,medium,low,low,high,low,negative,No
611,Happy People,Little Big Town,low,high,high,low,low,high,low,verypositive,No
612,All On Me,Devin Dawson,low,medium,medium,low,low,high,low,positive,No
613,Somethin' I'm Good At,Brett Eldredge,low,medium,high,low,low,high,low,negative,No
614,I Could Use a Love Song,Maren Morris,low,medium,medium,low,low,high,low,negative,No
615,Zac Brown Band - Hot Country,Various Artists,high,medium,medium,low,low,high,low,negative,No
616,Trying To Drive,Zac Brown Band,low,medium,high,low,low,high,low,negative,No
617,"God, Your Mama, And Me",Florida Georgia Line,medium,medium,high,low,medium,high,low,positive,No
618,Real Thing,Zac Brown Band,low,medium,medium,low,low,high,low,positive,No
619,They Don't Know,Jason Aldean,low,medium,high,low,low,high,low,negative,No
620,Every Time I Hear That Song,Blake Shelton,low,medium,high,low,low,high,low,positive,No
621,What Ifs,Kane Brown,low,medium,high,low,low,high,low,positive,No
622,For Her,Chris Lane,low,medium,high,low,low,high,low,positive,No
623,Act Like You Don't,Brooke Eden,medium,medium,high,low,low,high,low,negative,No
624,In Case You Didn't Know,Brett Young,medium,medium,medium,low,low,high,low,negative,No
625,Two Black X's,Dylan Schneider,low,medium,high,low,low,high,low,positive,No
626,You Look Good,Lady Antebellum,low,medium,high,low,low,high,low,verypositive,No
627,Close,Ryan Kinder,low,medium,high,low,low,high,low,verypositive,No
628,Ain't Always Pretty,Logan Mize,low,medium,high,low,medium,high,low,negative,No
629,Love in a Bar,Ryan Hurd,low,medium,medium,low,low,high,low,negative,No
630,Family Table,Zac Brown Band,low,medium,high,low,low,high,low,positive,No
631,Any Ol' Barstool,Jason Aldean,low,medium,high,low,low,high,low,negative,No
632,Dirt On My Boots,Jon Pardi,low,high,high,low,low,high,low,positive,No
633,Just a Phase,Adam Craig,medium,high,medium,low,low,high,low,positive,No
634,Body Like A Back Road,Sam Hunt,medium,high,medium,low,low,high,low,positive,No
635,How Not To,Dan + Shay,low,medium,high,low,low,high,low,positive,No
636,Tin Man,Miranda Lambert,high,medium,medium,low,low,high,low,negative,No
637,Blue Tacoma,Russell Dickerson,low,medium,high,low,low,high,low,positive,No
638,May We All,Florida Georgia Line,low,medium,high,low,medium,high,low,positive,No
639,Last Time for Everything,Brad Paisley,medium,medium,high,low,medium,high,low,positive,No
640,Getting Over You,Jackie Lee,low,medium,high,low,low,high,low,positive,No
641,Flatliner (feat. Dierks Bentley),Cole Swindell,low,medium,high,low,low,high,low,positive,No
642,Like You That Way,Canaan Smith,low,medium,high,low,low,high,low,positive,No
643,Hometown Girl,Josh Turner,low,medium,high,low,low,high,low,negative,No
644,Star Of The Show,Thomas Rhett,low,high,medium,low,low,high,low,positive,No
645,Either Way,Chris Stapleton,high,medium,low,low,low,low,low,negative,No
646,No Such Thing as a Broken Heart,Old Dominion,low,medium,high,low,low,high,low,verypositive,No
647,There’s A Girl,Trent Harmon,low,medium,high,low,low,high,low,negative,No
648,The Fighter,Keith Urban,low,high,high,low,low,high,low,verypositive,No
649,Despacito - Remix,Luis Fonsi,low,high,high,low,low,high,low,verypositive,No
650,Felices los 4,Maluma,low,high,high,low,medium,high,low,positive,No
651,SUBEME LA RADIO,Enrique Iglesias,low,high,high,low,low,high,low,positive,No
652,Me Rehúso,Danny Ocean,low,high,high,low,low,high,low,negative,No
653,El Amante,Nicky Jam,low,high,high,low,low,high,low,positive,No
654,Escápate Conmigo,Wisin,low,high,high,low,low,high,low,positive,No
655,Ahora Dice,Chris Jeday,low,high,high,low,low,high,low,negative,No
656,Chantaje,Shakira,low,high,high,low,low,high,low,verypositive,No
657,Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version,Pitbull,low,medium,high,low,low,high,low,positive,No
658,Sigo Extrañándote,J Balvin,low,high,high,low,low,high,low,verypositive,No
659,Otra Vez (feat. J Balvin),Zion & Lennox,low,high,high,low,medium,high,low,positive,No
660,La Rompe Corazones,Daddy Yankee,low,high,high,low,low,high,low,verypositive,No
661,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel Aa,low,medium,high,low,low,high,low,verypositive,No
662,Despacito (Featuring Daddy Yankee),Luis Fonsi,low,high,high,low,low,high,low,verypositive,No
663,Reggaetón Lento (Bailemos),CNCO,medium,high,high,low,low,high,low,positive,No
664,Hey DJ,CNCO,low,high,high,low,medium,high,low,negative,No
665,Me Llamas (feat. Maluma) - Remix,Piso 21,medium,high,high,low,low,high,low,positive,No
666,Me Enamoré,Shakira,low,high,high,low,low,high,low,verypositive,No
667,Tu Foto,Ozuna,low,high,medium,low,low,high,low,verypositive,No
668,Vente Pa' Ca,Ricky Martin,low,high,high,low,low,high,low,positive,No
669,Safari,J Balvin,medium,medium,high,low,low,high,low,positive,No
670,Alguien Robo,Sebastian Yatra,low,high,high,low,low,high,low,positive,No
671,Vacaciones,Wisin,low,high,high,low,low,high,low,positive,No
672,Te Quiero Pa´Mi,Don Omar,low,high,high,low,low,high,low,positive,No
673,Ay Mi Dios,IAmChino,low,high,high,low,low,high,low,verypositive,No
674,Traicionera,Sebastian Yatra,low,high,high,low,low,high,low,positive,No
675,Si Tú La Ves,Nicky Jam,low,high,high,low,low,high,low,verypositive,No
676,Lumbra,Cali Y El Dandee,low,high,high,low,high,high,low,verypositive,No
677,La Bicicleta,Carlos Vives,low,high,high,low,low,high,low,verypositive,No
678,Bailame,Nacho,low,high,high,low,low,high,low,positive,No
679,Dile Que Tu Me Quieres,Ozuna,low,high,high,low,low,high,low,verypositive,No
680,Deja vu,Prince Royce,medium,high,high,low,low,high,low,verypositive,No
681,Sé Que Te Duele,Alejandro Fernandez,low,high,high,low,low,high,low,verypositive,No
682,Borro Cassette,Maluma,low,high,high,low,low,high,low,verypositive,No
683,DUELE EL CORAZON,Enrique Iglesias,low,high,high,low,low,high,low,verypositive,No
684,Andas En Mi Cabeza,Chino & Nacho,low,high,high,low,low,high,low,positive,No
685,Chillax,Farruko,low,high,medium,low,low,high,low,positive,No
686,Hasta el Amanecer,Nicky Jam,low,high,medium,low,low,high,low,positive,No
687,Bailame Despacio,Xantos,low,high,high,low,low,high,low,positive,No
688,Shaky Shaky,Daddy Yankee,low,high,medium,low,low,high,low,verypositive,No
689,Besándote,Piso 21,low,high,high,low,low,high,low,negative,No
690,Ando buscando (feat. Piso 21),Carlos Baute,low,high,high,low,low,high,low,positive,No
691,Hula Hoop,Daddy Yankee,low,high,high,low,low,high,low,verypositive,No
692,Qué Gano Olvidándote - Versión Urbana,Reik,low,medium,high,low,low,high,low,positive,No
693,Ya Me Enteré (feat. Nicky Jam) - Urban Version,Reik,low,high,high,low,low,high,low,verypositive,No
694,Mi Tesoro (feat. Nicky Jam),Zion & Lennox,low,high,high,low,low,high,low,negative,No
695,Tú Sí Sabes Quererme,Natalia Lafourcade,high,medium,medium,low,low,high,low,verypositive,No
696,Si Me Dices Que Si (feat. Nicky Jam),Cosculluela,low,high,high,low,low,high,low,verypositive,No
697,Fuego,Juanes,low,high,medium,low,low,high,low,verypositive,No
698,Al Filo de Tu Amor,Carlos Vives,low,high,high,low,low,high,low,verypositive,No
699,Young And Menace,Fall Out Boy,low,medium,high,low,low,high,low,negative,No
700,"Sugar, We're Goin Down",Fall Out Boy,low,medium,high,low,low,high,low,positive,No
701,Centuries,Fall Out Boy,low,medium,high,low,low,high,low,positive,No
702,My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,low,medium,high,low,medium,high,low,positive,No
703,Immortals,Fall Out Boy,low,medium,high,low,medium,high,low,positive,No
704,Uma Thurman,Fall Out Boy,low,medium,high,low,medium,high,low,positive,No
705,"Dance, Dance",Fall Out Boy,low,medium,high,low,low,high,low,positive,No
706,"This Ain't A Scene, It's An Arms Race",Fall Out Boy,low,medium,high,low,low,high,low,negative,No
707,Bad Liar,Selena Gomez,low,high,medium,low,low,high,low,positive,No
708,Despacito - Remix,Luis Fonsi,low,medium,high,low,low,high,low,verypositive,No
709,Thunder,Imagine Dragons,low,medium,high,low,low,high,low,verynegative,No
710,Attention,Charlie Puth,low,high,medium,low,low,high,low,verypositive,No
711,There's Nothing Holdin' Me Back,Shawn Mendes,medium,high,high,low,low,high,low,verypositive,No
712,Quit (feat. Ariana Grande),Cashmere Cat,low,medium,medium,low,low,high,low,verynegative,No
713,The Cure,Lady Gaga,low,high,medium,low,low,high,low,positive,No
714,First Time,Kygo,low,medium,medium,low,low,high,low,positive,No
715,No Vacancy,OneRepublic,low,high,high,low,low,high,low,negative,No
716,Most Girls,Hailee Steinfeld,low,high,medium,low,low,high,low,negative,No
717,Malibu,Miley Cyrus,low,medium,high,low,low,high,low,negative,No
718,Stay (with Alessia Cara),Zedd,low,medium,medium,low,low,high,low,positive,No
719,1-800-273-8255,Logic,medium,medium,medium,low,low,high,low,negative,No
720,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,low,high,high,low,low,high,low,positive,No
721,Now Or Never,Halsey,low,high,medium,low,low,high,low,negative,No
722,No Promises (feat. Demi Lovato),Cheat Codes,low,high,high,low,low,high,low,positive,No
723,Slow Hands,Niall Horan,low,high,medium,low,low,high,low,verypositive,No
724,Bad Bitch (feat. Ty Dolla $ign),Bebe Rexha,low,medium,medium,low,low,high,low,negative,No
725,Good Life (with G-Eazy & Kehlani),G-Eazy,low,medium,high,low,low,high,low,positive,No
726,The Night We Met,Lord Huron,high,medium,medium,low,medium,high,low,verynegative,No
727,Rollin,Calvin Harris,medium,high,high,low,low,high,low,positive,No
728,Obsession (feat. Jon Bellion),Vice,low,high,medium,low,low,high,low,negative,No
729,Whippin (feat. Felix Snow),Kiiara,medium,high,medium,low,low,high,low,positive,No
730,Symphony,Clean Bandit,low,high,medium,low,low,high,low,negative,No
731,Break Up Every Night,The Chainsmokers,low,medium,high,low,low,high,low,positive,No
732,Unforgettable,French Montana,low,high,high,low,low,high,low,verypositive,No
733,HUMBLE.,Kendrick Lamar,low,high,medium,low,low,high,low,negative,No
734,do re mi,Blackbear,low,high,medium,low,low,high,low,verynegative,No
735,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,low,high,high,low,low,high,low,verypositive,No
736,Whatever It Takes,Imagine Dragons,low,high,high,low,low,high,low,positive,No
737,Touch,Little Mix,low,medium,high,low,medium,high,low,positive,No
738,Selfish,Future,low,medium,medium,low,medium,high,low,verynegative,No
739,It Ain’t Me (with Selena Gomez),Kygo,low,medium,medium,low,low,high,low,negative,No
740,Mama,Jonas Blue,low,high,high,low,low,high,low,positive,No
741,The One,The Chainsmokers,low,high,low,low,low,medium,low,verynegative,No
742,Nights With You,MØ,medium,high,high,low,medium,high,low,positive,No
743,TG4M,Zara Larsson,low,high,medium,low,low,high,low,positive,No
744,Mask Off,Future,low,high,medium,low,low,high,medium,negative,No
745,Bon Appétit,Katy Perry,low,high,high,low,low,high,low,positive,No
746,Sign of the Times,Harry Styles,low,medium,medium,low,low,high,low,verynegative,No
747,At My Best (feat. Hailee Steinfeld),Machine Gun Kelly,low,medium,high,low,low,high,low,verynegative,No
748,Issues,Julia Michaels,medium,high,medium,low,low,high,low,negative,No
749,That's What I Like,Bruno Mars,low,high,medium,low,low,high,low,verypositive,No
750,September Song,JP Cooper,low,medium,medium,low,low,high,low,negative,No
751,Still Got Time,ZAYN,low,high,medium,low,low,high,low,positive,No
752,Location,Khalid,low,high,medium,low,low,medium,medium,negative,No
753,Scared to Be Lonely,Martin Garrix,low,medium,medium,low,low,high,low,verynegative,No
754,Passionfruit,Drake,low,high,medium,low,low,medium,low,negative,No
755,Shape of You,Ed Sheeran,medium,high,medium,low,low,high,low,verypositive,No
756,Wild Ones (feat. Sia),Flo Rida,low,medium,high,low,low,high,low,negative,No
757,Starships,Nicki Minaj,low,high,high,low,low,high,low,positive,No
758,Lollipop,Lil Wayne,low,high,medium,low,low,high,low,negative,No
759,Time of Our Lives,Pitbull,low,high,high,low,high,high,low,positive,No
760,Stereo Hearts (feat. Adam Levine),Gym Class Heroes,low,medium,high,low,low,high,low,verypositive,No
761,Glad You Came,The Wanted,low,high,high,low,low,high,low,negative,No
762,Dynamite,Taio Cruz,low,high,high,low,low,high,low,verypositive,No
763,Clique,JAY Z,low,medium,medium,low,low,high,medium,negative,No
764,Airplanes (feat. Hayley Williams of Paramore),B.o.B,low,high,high,low,low,high,low,negative,No
765,Trumpets,Jason Derulo,medium,medium,high,low,low,high,low,positive,No
766,Live Your Life - feat. Rihanna,T.I.,low,medium,high,low,low,high,low,negative,No
767,Like A G6,Far East Movement,low,medium,high,low,low,high,medium,positive,No
768,Feel This Moment,Pitbull,low,high,high,low,medium,high,low,positive,No
769,Timber,Pitbull,low,medium,high,low,low,high,low,verypositive,No
770,Classic,MKTO,low,high,high,low,low,high,low,verypositive,No
771,Titanium (feat. Sia),David Guetta,low,medium,high,low,low,high,low,negative,No
772,E.T. - feat. Kanye West,Katy Perry,low,medium,high,low,medium,high,low,verypositive,No
773,GDFR (feat. Sage The Gemini & Lookas),Flo Rida,low,medium,high,low,low,high,low,positive,No
