ID,Age,Education,Marital_Status,Income,AcceptedCmp1,Complain,Response
607,Old,Graduation,Widow,High,No,No,No
608,Middle,Graduation,Divorced,High,No,No,No
609,Old,Basic,Married,High,No,No,No
610,Middle,Graduation,Married,Very high,Yes,No,No
611,Old,Master,Single,High,No,No,No
612,Middle,Master,Widow,High,No,No,No
613,Middle,Basic,Married,Medium,No,No,No
614,Middle,Graduation,Married,Medium,No,No,No
615,Middle,PhD,Single,High,No,No,Yes
616,Old,Graduation,Married,High,No,No,No
617,Middle,Master,Single,High,No,No,No
618,Middle,PhD,Together,Very high,No,No,No
619,Old,Graduation,Widow,Very high,No,No,No
620,Old,Master,Married,High,No,No,No
621,Middle,PhD,Married,Very high,No,No,No
622,Old,Graduation,Single,High,No,No,No
623,Middle,Graduation,Widow,Very high,No,No,No
624,Old,2n Cycle,Single,High,No,No,No
625,Middle,2n Cycle,Married,Very high,Yes,No,No
626,Middle,Graduation,Married,Medium,No,No,No
627,Old,Graduation,Single,Very high,No,No,No
628,Middle,Graduation,Together,Very high,No,No,Yes
629,Middle,PhD,Divorced,High,No,No,No
630,Middle,Graduation,Single,High,No,No,No
631,Old,PhD,Married,Very high,No,No,No
632,Middle,PhD,Together,Very high,No,No,No
633,Old,2n Cycle,Married,Very high,No,No,No
634,Middle,2n Cycle,Single,High,No,No,Yes
635,Old,Graduation,Single,Very high,No,No,Yes
636,Old,Graduation,Divorced,High,No,No,No
637,Old,Graduation,Single,Very high,No,No,No
638,Old,Graduation,Married,Very high,No,No,No
639,Middle,Master,Divorced,Very high,No,No,Yes
640,Old,Graduation,Married,Very high,No,No,No
641,Old,Graduation,Together,Very high,No,No,No
642,Old,PhD,Together,Very high,No,No,No
643,Old,PhD,Divorced,Very high,No,No,No
644,Old,Graduation,Single,High,No,No,No
645,Middle,Master,Together,Very high,No,No,Yes
646,Middle,PhD,Married,High,No,No,No
647,Middle,Graduation,Together,Very high,Yes,No,Yes
648,Middle,Master,Divorced,Very high,No,No,No
649,Old,Master,Married,Very high,No,No,No
650,Old,Graduation,Together,Very high,No,No,No
651,Young,Master,Single,Very high,No,No,No
652,Middle,Graduation,Together,High,No,No,No
653,Old,Graduation,Married,Very high,No,No,No
654,Old,PhD,Together,Very high,No,No,No
655,Middle,Graduation,Divorced,High,No,No,No
656,Old,Graduation,Divorced,Very high,No,No,No
657,Old,Graduation,Together,Very high,No,No,No
658,Old,2n Cycle,Together,High,No,No,No
659,Middle,PhD,Together,Very high,No,No,No
660,Old,PhD,Single,High,No,No,No
661,Young,Graduation,Together,Very high,No,No,No
662,Middle,Graduation,Married,Medium,No,No,No
663,Middle,Graduation,Widow,Very high,No,No,No
664,Old,Basic,Married,High,No,No,No
665,Old,Master,Together,Medium,No,No,No
666,Middle,Graduation,Married,Medium,No,No,No
667,Young,PhD,Together,High,No,No,No
668,Middle,Basic,Single,Medium,No,No,No
669,Middle,PhD,Married,High,No,No,No
670,Old,2n Cycle,Married,Very high,No,No,No
671,Old,PhD,Married,Very high,No,No,No
672,Middle,Master,Single,Very high,No,No,No
673,Middle,Graduation,Widow,Very high,No,No,No
674,Middle,Graduation,Married,Very high,No,No,No
675,Middle,PhD,Single,Very high,No,No,No
676,Old,Graduation,Married,High,No,No,No
677,Middle,PhD,Married,Very high,Yes,No,Yes
678,Young,Graduation,Single,Very high,No,No,No
679,Middle,2n Cycle,Married,High,No,No,Yes
680,Old,PhD,Single,Very high,No,No,No
681,Middle,Graduation,Divorced,Very high,No,No,No
682,Middle,Graduation,Divorced,Very high,No,No,No
683,Old,2n Cycle,Together,High,No,No,No
684,Middle,Graduation,Together,High,No,No,No
685,Middle,Graduation,Together,Very high,No,No,No
686,Middle,PhD,Divorced,Very high,No,No,No
687,Middle,PhD,Single,Very high,No,No,Yes
688,Young,PhD,Married,Very high,No,No,No
689,Middle,PhD,Together,Very high,Yes,No,No
690,Old,PhD,Together,Very high,No,No,No
691,Middle,PhD,Divorced,Very high,No,No,Yes
692,Old,Graduation,Single,Very high,No,No,No
693,Old,Master,Together,High,No,No,No
694,Old,Basic,Together,Medium,No,No,No
695,Old,Master,Widow,High,No,No,Yes
696,Young,Master,Married,Very high,No,No,No
697,Old,Graduation,Single,High,No,No,No
698,Old,PhD,Single,High,No,No,Yes
699,Old,Graduation,Single,High,No,No,No
700,Middle,Graduation,Together,Very high,Yes,No,No
701,Middle,Graduation,Divorced,Very high,No,No,No
702,Middle,Graduation,Married,Very high,No,No,No
703,Young,Graduation,Divorced,Very high,No,No,No
704,Middle,Master,Single,Very high,Yes,No,Yes
705,Young,Master,Divorced,High,No,No,No
706,Middle,Graduation,Married,Very high,No,No,No
707,Old,PhD,Divorced,High,No,No,No
708,Old,Graduation,Divorced,High,No,No,No
709,Middle,PhD,Together,Very high,No,No,No
710,Young,Master,Married,High,No,No,Yes
711,Old,Graduation,Married,High,No,No,No
712,Middle,Master,Single,Very high,No,No,No
713,Old,Graduation,Single,High,No,No,No
714,Middle,Graduation,Together,Very high,No,No,No
715,Middle,Graduation,Together,Very high,No,No,No
716,Old,PhD,Married,Very high,No,No,No
717,Middle,2n Cycle,Divorced,Very high,No,No,Yes
718,Middle,Graduation,Together,High,No,No,No
719,Old,Graduation,Divorced,Very high,No,No,No
720,Old,Graduation,Single,High,No,No,No
721,Old,Master,Married,Very high,No,No,No
722,Middle,Graduation,Married,Very high,No,No,No
723,Old,PhD,Married,Medium,No,No,No
724,Middle,Graduation,Married,Very high,No,No,No
725,Middle,Graduation,Married,Medium,No,No,Yes
726,Old,Graduation,Married,High,No,No,No
727,Middle,Graduation,Married,Very high,Yes,No,No
728,Old,Master,Divorced,Very high,No,No,No
729,Young,Master,Married,Very high,No,No,No
730,Old,Graduation,Together,Very high,No,No,No
731,Old,PhD,Divorced,High,No,No,No
732,Middle,PhD,Together,Very high,No,No,No
733,Old,Graduation,Married,Very high,No,No,No
734,Middle,PhD,Divorced,High,No,No,No
735,Old,Graduation,Divorced,Very high,Yes,No,No
736,Middle,Graduation,Married,Very high,Yes,No,Yes
737,Old,Graduation,Married,Very high,No,No,No
738,Young,Master,Together,Very high,No,No,No
739,Middle,Basic,Married,Medium,No,No,No
740,Old,Graduation,Together,Very high,No,No,No
741,Old,PhD,Single,Very high,No,No,No
742,Old,Master,Together,High,No,No,No
743,Middle,PhD,Single,High,No,No,No
744,Old,2n Cycle,Together,High,No,No,No
745,Old,Graduation,Married,Very high,Yes,No,No
746,Middle,Graduation,Together,Very high,No,No,No
747,Young,2n Cycle,Married,Medium,No,No,No
748,Middle,Graduation,Single,Very high,No,No,No
749,Old,Graduation,Single,High,No,No,No
750,Middle,2n Cycle,Married,Very high,No,No,Yes
751,Old,PhD,Together,Very high,No,No,No
752,Middle,PhD,Together,Very high,No,No,No
753,Middle,Graduation,Widow,Very high,No,No,No
754,Middle,Graduation,Married,Very high,Yes,No,Yes
755,Middle,Graduation,Together,Very high,No,No,No
756,Middle,2n Cycle,Together,Very high,No,No,No
757,Old,PhD,Together,Very high,No,No,Yes
758,Middle,Graduation,Married,Very high,No,No,No
759,Old,Master,Married,High,No,No,No
760,Middle,PhD,Married,High,No,No,No
761,Middle,2n Cycle,Married,High,No,No,No
762,Young,Graduation,Single,Very high,No,No,No
763,Middle,Master,Married,Very high,No,No,No
764,Old,PhD,Single,High,No,No,Yes
765,Old,Graduation,Single,Very high,No,No,No
766,Middle,Graduation,Married,High,No,No,No
767,Young,Graduation,Married,Very high,No,No,No
768,Old,Graduation,Together,Very high,No,No,No
769,Old,2n Cycle,Married,High,No,No,No
770,Middle,Master,Married,Very high,No,No,No
771,Old,Graduation,Married,Very high,No,No,No
772,Old,PhD,Married,Very high,No,No,No
773,Middle,Graduation,Single,High,No,No,Yes
774,Old,Graduation,Married,High,No,No,No
775,Old,PhD,Together,Medium,No,No,No
776,Old,Graduation,Together,High,No,No,No
777,Old,PhD,Single,High,No,No,No
778,Old,PhD,Together,Very high,No,No,No
779,Middle,Master,Single,Very high,No,No,No
780,Middle,Graduation,Single,Very high,No,No,No
781,Middle,PhD,Single,Very high,No,No,No
782,Middle,Graduation,Together,High,No,No,No
783,Middle,Graduation,Single,Medium,No,No,No
784,Middle,Graduation,Married,High,No,No,No
785,Young,Graduation,Together,High,No,No,No
786,Old,Basic,Married,Medium,No,No,No
787,Middle,Master,Together,Medium,No,No,No
788,Middle,PhD,Divorced,High,No,No,Yes
789,Middle,Master,Married,High,No,No,No
790,Old,Graduation,Divorced,High,No,No,No
791,Old,Master,Together,Very high,No,No,No
792,Old,PhD,Married,Very high,Yes,No,Yes
793,Middle,Graduation,Single,Medium,No,No,No
794,Old,Graduation,Married,Very high,No,No,No
795,Old,Graduation,Single,High,No,No,No
796,Old,Master,Single,High,No,No,No
797,Old,PhD,Married,Very high,No,No,No
798,Middle,2n Cycle,Divorced,Very high,No,No,No
799,Middle,Graduation,Together,Very high,No,No,No
800,Middle,Graduation,Married,Medium,No,No,No
801,Old,Master,Married,Very high,No,No,No
802,Old,Graduation,Widow,High,No,No,No
803,Old,Graduation,Married,High,No,No,No
804,Old,PhD,Single,Very high,No,No,No
805,Middle,Graduation,Married,High,Yes,No,Yes
806,Middle,Master,Married,High,No,No,No
807,Old,Master,Married,Very high,No,No,No
808,Middle,Graduation,Married,Very high,No,No,No
809,Middle,Graduation,Married,Very high,No,No,No
810,Middle,Graduation,Single,Very high,No,No,No
811,Middle,Graduation,Married,High,No,No,No
812,Middle,Graduation,Single,Medium,No,No,Yes
813,Old,Graduation,Single,Very high,No,No,No
814,Young,Master,Married,Very high,No,No,No
815,Middle,PhD,Together,Very high,No,No,No
816,Middle,PhD,Together,Very high,No,No,No
817,Old,Graduation,Married,High,No,No,No
818,Middle,Graduation,Single,Medium,No,No,No
819,Middle,Graduation,Married,Very high,No,No,No
820,Middle,2n Cycle,Married,High,No,No,No
821,Middle,PhD,Single,Very high,Yes,No,Yes
822,Old,Graduation,Married,Medium,No,No,No
823,Old,Graduation,Single,Very high,No,No,Yes
824,Old,Graduation,Married,Medium,No,No,No
825,Old,Graduation,Together,Very high,Yes,No,Yes
826,Old,2n Cycle,Divorced,Very high,No,No,No
827,Old,Graduation,Married,Very high,No,No,No
828,Old,Graduation,Divorced,High,No,No,No
829,Middle,PhD,Widow,Very high,No,No,No
830,Middle,Graduation,Together,Medium,No,No,No
831,Young,PhD,Divorced,Very high,No,No,No
832,Middle,Graduation,Single,High,No,No,No
833,Middle,PhD,Together,Very high,No,No,No
834,Middle,2n Cycle,Together,High,No,No,No
835,Old,Graduation,Married,High,No,No,No
836,Middle,Graduation,Married,Very high,No,No,No
837,Middle,Master,Single,High,No,No,No
838,Middle,Graduation,Divorced,Very high,No,No,No
839,Middle,2n Cycle,Single,High,No,No,No
840,Old,Graduation,Single,Very high,No,No,No
841,Middle,Graduation,Together,High,No,No,No
842,Young,Graduation,Married,High,No,No,No
843,Middle,Graduation,Single,High,No,No,No
844,Old,Graduation,Married,Medium,No,No,No
845,Middle,2n Cycle,Married,Very high,No,No,No
846,Young,Graduation,Together,Very high,No,No,Yes
847,Old,2n Cycle,Single,Very high,No,No,No
848,Old,Master,Single,Very high,No,No,No
849,Middle,Graduation,Single,High,No,No,No
850,Middle,Graduation,Married,Medium,No,No,No
851,Old,Graduation,Single,High,No,No,No
852,Old,PhD,Married,Very high,No,No,No
853,Middle,2n Cycle,Married,Very high,Yes,No,No
854,Middle,PhD,Together,High,No,No,No
855,Middle,PhD,Married,High,Yes,No,Yes
856,Middle,Graduation,Single,Very high,No,No,No
857,Young,Master,Married,High,No,No,No
858,Middle,Graduation,Married,Very high,No,No,No
859,Young,Graduation,Together,High,No,No,No
860,Middle,2n Cycle,Married,Very high,No,No,No
861,Middle,Graduation,Together,Medium,No,No,No
862,Young,Master,Together,High,No,No,No
863,Young,Graduation,Married,Medium,No,No,No
864,Middle,2n Cycle,Together,High,No,No,No
865,Middle,2n Cycle,Single,High,No,No,No
866,Middle,PhD,Together,Very high,No,No,No
867,Young,Master,Single,High,No,No,No
868,Middle,Master,Single,Medium,No,No,No
869,Middle,Graduation,Together,Very high,No,No,No
870,Middle,Graduation,Together,High,No,No,No
871,Old,PhD,Together,Very high,No,No,No
872,Middle,Graduation,Single,Very high,No,No,No
873,Middle,Graduation,Together,Medium,No,No,No
874,Middle,2n Cycle,Single,High,No,No,No
875,Old,Master,Together,Very high,No,No,No
876,Middle,Graduation,Together,Very high,Yes,No,No
877,Middle,Master,Divorced,High,No,No,No
878,Old,Graduation,Married,High,No,No,No
879,Middle,Master,Single,Very high,No,No,No
880,Middle,2n Cycle,Together,Medium,No,No,No
881,Middle,Graduation,Single,Medium,No,No,Yes
882,Middle,Graduation,Married,High,No,No,No
883,Middle,Graduation,Divorced,High,No,No,No
884,Middle,2n Cycle,Married,Very high,No,No,No
885,Middle,PhD,Single,Very high,No,No,Yes
886,Old,PhD,Together,Very high,No,No,No
887,Old,PhD,Single,High,No,No,No
888,Old,Graduation,Married,High,No,No,No
889,Middle,Graduation,Together,Very high,No,No,No
890,Middle,Master,Single,Very high,No,No,No
891,Old,Graduation,Married,High,No,No,No
892,Middle,Master,Widow,Very high,No,No,No
893,Young,Graduation,Married,Very high,No,No,No
894,Old,Basic,Single,High,No,No,No
895,Middle,PhD,Divorced,High,No,No,Yes
896,Old,PhD,Single,Very high,No,No,No
897,Old,Graduation,Together,Very high,No,No,Yes
898,Middle,Graduation,Divorced,Very high,No,No,No
899,Young,PhD,Married,High,No,No,No
900,Old,Graduation,Divorced,Medium,No,No,No
901,Middle,Graduation,Married,Very high,No,No,No
902,Middle,Graduation,Divorced,Very high,No,No,No
903,Middle,Graduation,Together,Very high,No,No,No
904,Middle,Graduation,Together,Very high,No,No,No
905,Middle,Graduation,Together,Very high,No,No,No
906,Old,Graduation,Single,Very high,No,No,No
907,Middle,Graduation,Single,Very high,Yes,No,Yes
908,Middle,Graduation,Widow,High,No,No,No
909,Young,Graduation,Together,High,No,No,No
910,Middle,PhD,Married,High,No,No,No
911,Young,PhD,Single,Very high,No,No,No
912,Old,Graduation,Together,Very high,No,No,No
913,Middle,PhD,Widow,Very high,No,No,Yes
914,Young,Master,Married,High,No,No,Yes
915,Old,Graduation,Single,Very high,No,No,Yes
916,Old,Graduation,Medium,Very high,No,No,No
917,Middle,Master,Together,Very high,No,No,No
918,Old,PhD,Married,Very high,No,No,Yes
919,Old,2n Cycle,Single,High,No,No,No
920,Old,PhD,Single,Very high,Yes,No,No
921,Young,PhD,Together,High,No,No,No
922,Middle,Graduation,Single,Very high,No,No,No
923,Old,Master,Single,High,No,No,Yes
924,Young,PhD,Married,High,No,No,No
925,Middle,Graduation,Together,Very high,Yes,No,No
926,Middle,Master,Together,Medium,No,No,No
927,Middle,Graduation,Married,Very high,Yes,No,No
928,Young,2n Cycle,Single,Very high,No,No,No
929,Middle,Graduation,Single,Very high,No,No,No
930,Middle,PhD,Married,Very high,No,No,No
931,Young,PhD,Together,Very high,No,No,No
932,Old,Graduation,Single,High,No,No,No
933,Young,PhD,Single,Very high,No,No,No
934,Old,Basic,Married,High,No,No,No
935,Middle,Graduation,Single,Very high,No,No,No
936,Middle,PhD,Together,High,No,No,No
937,Middle,Graduation,Together,Very high,No,No,No
938,Middle,PhD,Married,Very high,Yes,No,No
939,Middle,Graduation,Single,Very high,No,No,No
940,Old,PhD,Divorced,Very high,No,No,No
941,Old,2n Cycle,Single,Very high,No,No,No
942,Middle,PhD,Together,Very high,No,No,No
943,Old,Graduation,Divorced,Very high,No,No,Yes
944,Young,Graduation,Together,Very high,Yes,No,Yes
945,Young,Basic,Single,Medium,No,No,No
946,Middle,PhD,Married,Very high,No,No,No
947,Middle,2n Cycle,Married,Very high,No,No,No
948,Middle,Graduation,Divorced,Very high,No,No,No
949,Middle,Graduation,Together,High,No,No,No
950,Middle,2n Cycle,Divorced,Very high,No,No,No
951,Middle,PhD,Together,High,No,No,No
952,Middle,PhD,Together,Very high,No,No,No
953,Middle,Master,Divorced,High,No,No,Yes
954,Middle,PhD,Single,High,No,No,No
955,Middle,Master,Together,High,No,No,No
956,Old,PhD,Married,Medium,No,No,No
957,Old,Graduation,Married,Very high,No,No,Yes
958,Middle,Graduation,Single,Very high,No,No,No
959,Old,Graduation,Married,Very high,No,No,No
960,Middle,PhD,Divorced,Very high,No,No,No
961,Old,Graduation,Divorced,Very high,No,No,No
962,Middle,PhD,Single,Very high,No,No,No
963,Middle,Master,Together,High,No,No,Yes
964,Middle,PhD,Married,High,No,No,No
965,Old,Graduation,Married,Very high,No,No,No
966,Middle,Graduation,Together,Very high,No,No,No
967,Middle,Graduation,Married,Very high,Yes,No,Yes
968,Middle,Graduation,Married,High,No,No,No
969,Middle,PhD,Married,High,No,No,Yes
970,Young,Graduation,Together,High,No,No,No
971,Middle,Graduation,Married,Very high,No,No,No
972,Young,PhD,Together,High,No,No,No
973,Old,2n Cycle,Married,Medium,No,Yes,No
974,Middle,2n Cycle,Divorced,Very high,No,No,No
975,Old,Master,Together,Very high,No,No,No
976,Old,Graduation,Married,Very high,No,No,No
977,Old,Master,Together,Very high,No,No,No
978,Old,Master,Married,Very high,No,No,No
979,Old,Graduation,Married,High,No,No,No
980,Old,Graduation,Together,Very high,No,No,No
981,Old,2n Cycle,Widow,High,No,No,No
982,Middle,Graduation,Divorced,Low,No,No,No
983,Middle,Master,Divorced,High,No,No,No
984,Old,Graduation,Divorced,Very high,No,No,No
985,Middle,Graduation,Married,Very high,Yes,No,Yes
986,Middle,PhD,Married,Very high,No,No,No
987,Middle,PhD,Married,Very high,No,No,No
988,Middle,Graduation,Married,Very high,Yes,No,Yes
989,Old,2n Cycle,Single,Very high,No,No,No
990,Old,PhD,Widow,High,No,No,No
991,Middle,Graduation,Divorced,Very high,Yes,No,Yes
992,Middle,2n Cycle,Married,Medium,No,No,No
993,Young,Master,Together,High,No,No,No
994,Old,Graduation,Single,Very high,No,No,No
995,Young,Graduation,Divorced,Very high,No,No,No
996,Middle,Graduation,Single,High,No,No,No
997,Old,Graduation,Together,Very high,Yes,No,No
998,Middle,Graduation,Together,High,No,No,No
999,Old,Graduation,Married,Very high,No,No,No
1000,Old,Graduation,Divorced,High,No,No,No
1001,Young,PhD,Widow,Very high,No,No,Yes
1002,Middle,PhD,Single,Very high,Yes,No,Yes
1003,Young,2n Cycle,Married,Very high,Yes,No,Yes
1004,Old,Graduation,Together,Medium,No,No,No
1005,Old,PhD,Married,High,No,No,No
1006,Old,Graduation,Single,High,No,No,Yes
1007,Old,Master,Married,Very high,No,No,No
1008,Middle,Graduation,Together,Very high,No,No,No
1009,Old,Graduation,Married,Medium,No,No,No
1010,Middle,PhD,Single,High,No,No,No
1011,Middle,Graduation,Together,Very high,Yes,No,No
1012,Middle,PhD,Together,High,No,No,No
1013,Middle,Graduation,Single,High,No,No,No
1014,Middle,Master,Together,High,No,No,No
1015,Old,Master,Married,High,No,No,No
1016,Old,Master,Married,Very high,No,No,No
1017,Middle,2n Cycle,Married,Very high,No,No,No
1018,Middle,Graduation,Together,Very high,No,No,No
1019,Middle,Graduation,Married,High,No,No,No
1020,Middle,Graduation,Single,Medium,No,No,No
1021,Middle,Graduation,Married,High,No,No,No
1022,Old,PhD,Together,High,No,No,No
1023,Middle,PhD,Together,Very high,No,No,Yes
1024,Middle,Master,Together,High,No,No,No
1025,Middle,Graduation,Married,Medium,No,No,No
1026,Middle,PhD,Married,Very high,No,No,No
1027,Young,Graduation,Single,High,No,No,Yes
1028,Old,Basic,Single,Medium,No,No,No
1029,Old,PhD,Divorced,High,No,No,No
1030,Middle,2n Cycle,Together,Very high,No,No,No
1031,Middle,Graduation,Together,Very high,No,No,Yes
1032,Middle,Graduation,Single,Very high,No,No,Yes
1033,Middle,Graduation,Together,Very high,No,No,No
1034,Middle,2n Cycle,Married,High,No,No,No
1035,Middle,Graduation,Married,Very high,No,No,No
1036,Old,Graduation,Single,High,No,No,No
1037,Middle,PhD,Together,High,No,No,No
1038,Middle,Master,Single,High,No,No,No
1039,Old,PhD,Married,High,No,No,Yes
1040,Old,Graduation,Married,High,No,No,No
1041,Old,Graduation,Married,Very high,No,No,No
1042,Young,Graduation,Married,High,No,Yes,No
1043,Old,Graduation,Single,Medium,No,No,No
1044,Young,Graduation,Together,Very high,Yes,No,No
1045,Old,Graduation,Together,High,No,No,Yes
1046,Middle,Master,Single,High,No,No,No
1047,Old,Master,Married,High,No,No,No
1048,Middle,PhD,Married,Very high,No,No,No
1049,Middle,Graduation,Together,High,No,No,Yes
1050,Old,Graduation,Married,High,No,No,No
1051,Middle,2n Cycle,Married,Very high,No,No,No
1052,Old,PhD,Together,High,No,No,No
1053,Middle,PhD,Married,Very high,No,No,No
1054,Middle,2n Cycle,Divorced,High,No,No,Yes
1055,Young,Master,Married,High,No,No,No
1056,Middle,Graduation,Single,Very high,No,No,No
1057,Old,Graduation,Married,High,No,No,No
1058,Old,PhD,Married,Very high,No,No,No
1059,Young,Graduation,Single,Very high,No,No,No
1060,Old,Graduation,Together,Very high,No,No,No
1061,Old,Master,Married,Very high,No,No,No
1062,Young,Graduation,Together,Very high,No,No,No
1063,Middle,PhD,Single,High,No,No,Yes
1064,Old,PhD,Divorced,High,No,No,No
1065,Old,PhD,Married,Very high,No,No,No
1066,Young,Graduation,Married,Medium,No,No,No
1067,Old,Graduation,Single,Very high,Yes,No,Yes
1068,Old,2n Cycle,Divorced,Very high,No,No,No
1069,Middle,Graduation,Divorced,Medium,No,No,No
1070,Middle,Graduation,Married,Very high,No,Yes,No
1071,Middle,PhD,Together,High,No,No,No
1072,Old,Graduation,Together,Very high,No,No,No
1073,Old,Graduation,Together,Very high,No,No,No
1074,Old,Graduation,Married,High,No,No,No
1075,Old,Graduation,Together,High,No,No,No
1076,Middle,Graduation,Together,Very high,Yes,No,No
1077,Middle,PhD,Married,Very high,No,No,No
1078,Middle,2n Cycle,Together,High,No,No,No
1079,Middle,Master,Single,Very high,No,No,No
1080,Old,PhD,Married,High,No,No,No
1081,Middle,Graduation,Single,Very high,No,No,No
1082,Old,Graduation,Married,High,No,No,Yes
1083,Middle,Graduation,Married,Very high,No,No,Yes
1084,Middle,Graduation,Together,High,No,No,No
1085,Middle,Master,Single,Very high,Yes,No,Yes
1086,Middle,Graduation,Married,Very high,No,No,No
1087,Old,Graduation,Single,Medium,No,No,No
1088,Middle,PhD,Together,Very high,Yes,No,Yes
1089,Old,Graduation,Together,High,No,No,No
1090,Middle,PhD,Single,Very high,No,No,Yes
1091,Middle,PhD,Married,Very high,No,No,No
1092,Old,PhD,Single,High,No,No,No
1093,Middle,Graduation,Together,Very high,No,No,No
1094,Old,PhD,Single,High,No,No,No
1095,Middle,PhD,Married,Very high,No,No,No
1096,Old,Graduation,Single,Very high,No,No,No
1097,Young,Graduation,Divorced,Very high,No,No,No
1098,Middle,2n Cycle,Single,Very high,No,No,No
1099,Middle,Master,Together,High,No,No,No
1100,Middle,Graduation,Married,Very high,No,No,No
1101,Middle,Graduation,Divorced,Very high,Yes,No,Yes
1102,Young,2n Cycle,Married,Very high,No,No,No
1103,Middle,Graduation,Married,High,No,No,No
1104,Middle,Graduation,Together,Very high,No,No,No
1105,Old,Graduation,Married,High,No,No,No
1106,Old,PhD,Single,Very high,Yes,No,No
1107,Middle,PhD,Married,Very high,No,No,No
1108,Middle,2n Cycle,Married,Medium,No,No,No
1109,Old,2n Cycle,Married,Very high,No,No,No
1110,Old,Graduation,Married,Very high,No,No,No
1111,Middle,Graduation,Divorced,Very high,No,No,No
1112,Middle,2n Cycle,Single,Very high,Yes,No,Yes
1113,Old,PhD,Single,Very high,No,No,No
1114,Middle,Master,Single,Very high,No,No,No
1115,Middle,PhD,Single,Medium,No,No,No
1116,Middle,Graduation,Together,Very high,No,No,No
1117,Middle,PhD,Married,High,No,No,Yes
1118,Middle,Master,Married,High,No,No,Yes
1119,Middle,Basic,Together,Medium,No,No,No
1120,Middle,2n Cycle,Married,High,No,No,No
1121,Middle,Graduation,Single,Very high,No,No,No
1122,Middle,PhD,Married,High,No,No,No
1123,Middle,Master,Divorced,Very high,No,No,No
1124,Old,Graduation,Single,High,No,No,No
1125,Old,Graduation,Married,High,No,No,No
1126,Middle,Graduation,Divorced,High,No,No,Yes
1127,Middle,Graduation,Single,Very high,No,No,No
1128,Young,Graduation,Together,High,No,No,No
1129,Old,Basic,Single,Medium,No,No,No
1130,Old,2n Cycle,Divorced,Very high,No,No,Yes
1131,Middle,Master,Married,Very high,No,No,No
1132,Middle,Graduation,Single,High,No,No,No
1133,Middle,Graduation,Married,High,No,No,No
1134,Young,Graduation,Together,Very high,Yes,No,No
1135,Middle,Graduation,Single,Very high,Yes,No,Yes
1136,Middle,2n Cycle,Together,High,No,No,No
1137,Old,PhD,Married,High,No,No,No
1138,Young,PhD,Divorced,Very high,No,No,Yes
1139,Old,Master,Divorced,Medium,No,No,No
1140,Old,Graduation,Married,High,No,No,No
1141,Young,Master,Together,Very high,No,No,No
1142,Middle,Graduation,Married,High,No,No,No
1143,Old,2n Cycle,Divorced,Medium,No,No,No
1144,Old,PhD,Single,High,No,No,No
1145,Middle,Graduation,Widow,Very high,No,No,No
1146,Middle,Master,Together,Medium,No,No,No
1147,Old,Graduation,Together,High,No,No,Yes
1148,Old,Graduation,Together,Very high,No,No,No
1149,Young,PhD,Married,Very high,No,No,No
1150,Old,Graduation,Single,High,No,No,Yes
1151,Old,PhD,Widow,Very high,No,No,No
1152,Middle,Graduation,Together,Very high,No,No,No
1153,Middle,Graduation,Married,Medium,No,No,No
1154,Old,Graduation,Together,Very high,No,No,Yes
1155,Old,Master,Married,Very high,No,No,No
1156,Middle,PhD,Single,Medium,No,No,No
1157,Middle,Graduation,Married,High,No,No,Yes
1158,Old,Graduation,Together,Very high,No,No,No
1159,Old,Graduation,Married,Very high,No,No,No
1160,Old,Graduation,Married,Very high,No,No,No
1161,Old,Graduation,Married,High,No,No,No
1162,Old,Graduation,Together,Very high,No,No,No
1163,Young,Graduation,Married,Very high,No,No,No
1164,Middle,Graduation,Together,Very high,No,No,No
1165,Middle,PhD,Married,High,No,No,No
1166,Middle,Graduation,Married,Very high,No,No,No
1167,Middle,2n Cycle,Married,High,No,No,No
1168,Old,Graduation,Together,High,No,No,No
1169,Middle,Graduation,Married,Very high,No,No,No
1170,Young,Graduation,Single,Very high,No,No,No
1171,Middle,Basic,Married,Medium,No,No,No
1172,Young,2n Cycle,Married,Medium,No,No,No
1173,Old,PhD,Married,Very high,No,No,No
1174,Middle,Master,Married,Very high,No,No,No
1175,Old,Basic,Together,Medium,No,No,No
1176,Old,Master,Married,High,No,No,No
1177,Middle,Master,Married,High,No,No,No
1178,Middle,Graduation,Married,Very high,No,No,No
1179,Young,Graduation,Divorced,High,No,No,No
1180,Old,Master,Single,Very high,No,No,No
1181,Old,Graduation,Together,High,No,Yes,No
1182,Old,Graduation,Married,High,No,No,No
1183,Old,PhD,Divorced,Very high,No,No,Yes
1184,Middle,Basic,Single,Medium,No,No,No
1185,Young,Graduation,Single,High,No,No,No
1186,Old,Graduation,Single,Medium,No,No,No
1187,Old,Graduation,Married,High,No,No,No
1188,Old,PhD,Single,Very high,Yes,No,No
1189,Middle,PhD,Together,High,No,No,No
1190,Middle,2n Cycle,Married,High,No,No,No
1191,Middle,Master,Divorced,Very high,No,No,Yes
1192,Old,Master,Widow,Very high,No,No,Yes
1193,Old,Graduation,Divorced,Very high,No,No,No
1194,Middle,Graduation,Single,Very high,No,No,No
1195,Middle,Master,Married,High,No,No,No
1196,Old,Master,Divorced,Very high,No,No,No
1197,Middle,2n Cycle,Married,High,No,No,No
1198,Middle,Master,Married,Very high,No,No,No
1199,Old,PhD,Married,Very high,No,No,No
1200,Middle,2n Cycle,Widow,Very high,No,No,No
